cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14260,"Boise City, ID (Metropolitan Statistical Area)",all,95.25,97.727,95.538,96.966,96.662,96.375,95.919,94.868,93.154,95.864,93.596,95.704,93.649,93.752,94.215,94.244,98.391
14260,"Boise City, ID (Metropolitan Statistical Area)",housing,93.114,88.104,83.89,82.371,81.245,86.502,84.469,80.201,79.569,82.163,86.764,91.273,88.273,97.299,102.41,98.165,105.58
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",all,107.712,106.647,106.266,106.646,105.953,104.261,105.767,106.304,110.144,109.129,110.327,109.897,112.549,109.815,112.187,110.393,108.266
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",housing,142.65,146.232,144.203,147.277,144.914,145.714,142.657,144.738,146.632,148.381,146.148,146.371,156.668,146.988,150.152,148.247,148.424
14500,"Boulder, CO (Metropolitan Statistical Area)",all,108.521,105.585,104.494,107.144,107.486,105.814,106.334,106.842,105.612,105.308,101.659,105.455,101.7,100.872,99.939,100.614,105.202
14500,"Boulder, CO (Metropolitan Statistical Area)",housing,145.685,139.701,144.48,151.004,145.809,135.797,148.973,159.241,151.47,157.879,151.84,170.627,146.529,166.311,150.294,148.597,157.02
14540,"Bowling Green, KY (Metropolitan Statistical Area)",all,86.638,84.745,88.464,87.823,88.66,89.987,89.327,88.929,87.338,87.812,87.882,88.858,89.44,88.605,89.337,89.854,90.179
14540,"Bowling Green, KY (Metropolitan Statistical Area)",housing,57.265,58.882,64.523,58.669,63.598,66.509,64.094,62.715,59.394,63.286,59.822,61.962,65.137,62.161,63.28,66.063,63.395
14580,"Bozeman, MT (Metropolitan Statistical Area)",all,98.805,95.776,95.107,96.456,97.066,94.085,96.939,99.064,97.452,98.859,97.251,99.511,96.484,95.805,94.76,99.007,102.51
14580,"Bozeman, MT (Metropolitan Statistical Area)",housing,90.803,83.98,84.471,86.95,97.805,79.189,92.226,92.535,88.804,93.329,104.587,111.222,100.761,108.067,102.884,131.471,139.188
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",all,107.013,105.802,103.435,103.948,103.596,103.103,104.752,104.973,107.089,107.273,107.171,105.597,105.357,103.603,108.876,107.42,105.607
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",housing,121.295,117.199,112.337,118.225,118.349,116.438,116.34,116.006,120.108,114.757,129.101,123.91,124.598,115.998,130.247,132.703,129.641
